# marker	workspace-relative production source file	reviewed rationale
#
# Each entry identifies one exact source file and why its occurrence cannot be
# production authority. Do not add wildcards or artifact-wide exemptions.
bloom-keystore	crates/bloom-machine/src/main.rs	cfg(test) dependency-absence assertion; not compiled into the production target
bloom_keystore	crates/bloom-vfs/src/handlers/requests.rs	cfg(test) legacy fixture only; production handler uses WalletProjectionReader
bloom_keystore	crates/bloom-vfs/src/handlers/status.rs	cfg(test) legacy fixture only; production handler uses WalletProjectionReader
bloom_keystore	crates/bloom-vfs/src/handlers/wallets.rs	cfg(test) legacy fixture helpers only; production handler uses WalletProjectionReader
PrivateKeySigner	crates/bloom-paid-http/src/lib.rs	documentation explicitly forbids the concrete private signer
PrivateKeySigner	crates/bloom-paid-x402/src/lib.rs	documentation explicitly forbids the concrete private signer
PrivateKeySigner	crates/bloom-tx/src/tx_engine.rs	cfg(test) transaction encoding/signature vectors only
sign_hash_sync	crates/bloom-tx/src/tx_engine.rs	cfg(test) transaction encoding/signature vectors only
policy-session	crates/bloom-vfs/src/handlers/docs.rs	cfg(test) negative discovery assertion for the removed surface
policy-session	crates/bloom-vfs/src/handlers/wallets.rs	cfg(test) negative lookup assertions for the removed surface
SessionStore	crates/bloom-vfs/src/handlers/tools.rs	in-memory ABI/RLP utility input buffers; no wallet, approval, policy, budget, or signing authority
